worksheet,sheet_state,cell,row,col,cell_class,formula,cached_value,cached_value_type,number_format,precedents_extracted,precedent_count,module_area,data_type_openpyxl,ambiguity_flag,notes
CR Econ,visible,R5,5,18,formula,"=IF(Q5=0,"""",IF(Q5<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q5>'Fiscal Terms_PIA'!$W$60,Q5<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q5-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q5,IF(AND(Q5>'Fiscal Terms_PIA'!$W$61,Q5<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q5-'Fiscal Terms_PIA'!$W$61))/Q5,IF(AND(Q5>'Fiscal Terms_PIA'!$W$62,Q5<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q5-'Fiscal Terms_PIA'!$W$62))/Q5,IF(AND(Q5>'Fiscal Terms_PIA'!$W$63,Q5<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q5-'Fiscal Terms_PIA'!$W$63))/Q5,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q5 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S5,5,19,formula,"=IF(Q5=0,"""",100%-R5)",,,0.00%,Q5 | R5,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R6,6,18,formula,"=IF(Q6=0,"""",IF(Q6<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q6>'Fiscal Terms_PIA'!$W$60,Q6<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q6-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q6,IF(AND(Q6>'Fiscal Terms_PIA'!$W$61,Q6<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q6-'Fiscal Terms_PIA'!$W$61))/Q6,IF(AND(Q6>'Fiscal Terms_PIA'!$W$62,Q6<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q6-'Fiscal Terms_PIA'!$W$62))/Q6,IF(AND(Q6>'Fiscal Terms_PIA'!$W$63,Q6<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q6-'Fiscal Terms_PIA'!$W$63))/Q6,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q6 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S6,6,19,formula,"=IF(Q6=0,"""",100%-R6)",,,0.00%,Q6 | R6,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R7,7,18,formula,"=IF(Q7=0,"""",IF(Q7<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q7>'Fiscal Terms_PIA'!$W$60,Q7<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q7-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q7,IF(AND(Q7>'Fiscal Terms_PIA'!$W$61,Q7<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q7-'Fiscal Terms_PIA'!$W$61))/Q7,IF(AND(Q7>'Fiscal Terms_PIA'!$W$62,Q7<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q7-'Fiscal Terms_PIA'!$W$62))/Q7,IF(AND(Q7>'Fiscal Terms_PIA'!$W$63,Q7<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q7-'Fiscal Terms_PIA'!$W$63))/Q7,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q7 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S7,7,19,formula,"=IF(Q7=0,"""",100%-R7)",,,0.00%,Q7 | R7,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R23,23,18,formula,"=IF(Q23=0,"""",IF(Q23<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q23>'Fiscal Terms_PIA'!$W$60,Q23<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q23-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q23,IF(AND(Q23>'Fiscal Terms_PIA'!$W$61,Q23<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q23-'Fiscal Terms_PIA'!$W$61))/Q23,IF(AND(Q23>'Fiscal Terms_PIA'!$W$62,Q23<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q23-'Fiscal Terms_PIA'!$W$62))/Q23,IF(AND(Q23>'Fiscal Terms_PIA'!$W$63,Q23<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q23-'Fiscal Terms_PIA'!$W$63))/Q23,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q23 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S23,23,19,formula,"=IF(Q23=0,"""",100%-R23)",,,0.00%,Q23 | R23,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,R24,24,18,formula,"=IF(Q24=0,"""",IF(Q24<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q24>'Fiscal Terms_PIA'!$W$60,Q24<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q24-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q24,IF(AND(Q24>'Fiscal Terms_PIA'!$W$61,Q24<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q24-'Fiscal Terms_PIA'!$W$61))/Q24,IF(AND(Q24>'Fiscal Terms_PIA'!$W$62,Q24<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q24-'Fiscal Terms_PIA'!$W$62))/Q24,IF(AND(Q24>'Fiscal Terms_PIA'!$W$63,Q24<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q24-'Fiscal Terms_PIA'!$W$63))/Q24,'Fiscal Terms_PIA'!$X$65))))))",,,0.00%,'Fiscal Terms_PIA'!$W$60 | 'Fiscal Terms_PIA'!$W$61 | 'Fiscal Terms_PIA'!$W$62 | 'Fiscal Terms_PIA'!$W$63 | 'Fiscal Terms_PIA'!$W$64 | 'Fiscal Terms_PIA'!$X$60 | 'Fiscal Terms_PIA'!$X$61 | 'Fiscal Terms_PIA'!$X$62 | 'Fiscal Terms_PIA'!$X$63 | 'Fiscal Terms_PIA'!$X$64 | 'Fiscal Terms_PIA'!$X$65 | Q24 | W$60 | W$61 | W$62 | W$63 | W$64 | X$60 | X$61 | X$62 | X$63 | X$64 | X$65,23,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
CR Econ,visible,S24,24,19,formula,"=IF(Q24=0,"""",100%-R24)",,,0.00%,Q24 | R24,2,Results / Dashboard,f,NO_CACHED_VALUE,Formula present but data_only cache empty; full Excel recalc may be required for expected value.
