worksheet,sqref,type,operator,formula1,formula2,allow_blank,showDropDown,module_area
YTD Budget APN (2),D391,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D373,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D372,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D371,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D367,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D363,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D360,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D357,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D351,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D350,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D349,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D348,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D347,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D346,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D344,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D343,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D342,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D341,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D340,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D339,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D338,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D330,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D329,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D328,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D327,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D326,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D325,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D319,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D318,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D312,textLength,,0,300,True,False,Unclassified — needs human review
