name,attr_text,hidden
___mds_allowwriteback___,"""""",False
___mds_asyncwriteback___,FALSE,False
___mds_description___,"""""",True
___mds_spreading___,FALSE,False
__123Graph_A,#REF!,True
__123Graph_B,#REF!,True
__123Graph_C,#REF!,True
__123Graph_D,#REF!,True
__123Graph_E,#REF!,True
__123Graph_F,#REF!,True
__IntlFixup,TRUE,True
_AtRisk_SimSetting_AutomaticallyGenerateReports,FALSE,True
_AtRisk_SimSetting_AutomaticResultsDisplayMode,0,True
_AtRisk_SimSetting_ConvergenceConfidenceLevel,0.95,True
_AtRisk_SimSetting_ConvergencePercentileToTest,0.9,True
_AtRisk_SimSetting_ConvergencePerformMeanTest,TRUE,True
_AtRisk_SimSetting_ConvergencePerformPercentileTest,FALSE,True
_AtRisk_SimSetting_ConvergencePerformStdDeviationTest,FALSE,True
_AtRisk_SimSetting_ConvergenceTestAllOutputs,TRUE,True
_AtRisk_SimSetting_ConvergenceTestingPeriod,100,True
_AtRisk_SimSetting_ConvergenceTolerance,0.03,True
_AtRisk_SimSetting_GoalSeekTargetValue,0,True
_AtRisk_SimSetting_LiveUpdate,TRUE,True
_AtRisk_SimSetting_LiveUpdatePeriod,-1,True
_AtRisk_SimSetting_MacroMode,0,True
_AtRisk_SimSetting_MacroRecalculationBehavior,0,True
_AtRisk_SimSetting_MaxAutoIterations,50000,True
_AtRisk_SimSetting_MultipleCPUCount,-1,True
_AtRisk_SimSetting_MultipleCPUManualCount,4,True
_AtRisk_SimSetting_MultipleCPUMode,0,True
_AtRisk_SimSetting_MultipleCPUModeV8,2,True
_AtRisk_SimSetting_RandomNumberGenerator,0,True
_AtRisk_SimSetting_ReportOptionCustomItemsCount,0,True
_AtRisk_SimSetting_ReportOptionDataMode,1,True
_AtRisk_SimSetting_ReportOptionReportMultiSimType,1,True
_AtRisk_SimSetting_ReportOptionReportPlacement,1,True
_AtRisk_SimSetting_ReportOptionReportSelection,1,True
_AtRisk_SimSetting_ReportOptionReportsFileType,1,True
_AtRisk_SimSetting_ReportOptionReportStyle,1,True
_AtRisk_SimSetting_ReportOptionSelectiveQR,FALSE,True
_AtRisk_SimSetting_ReportsList,1,True
_AtRisk_SimSetting_ShowSimulationProgressWindow,TRUE,True
_AtRisk_SimSetting_SimNameCount,0,True
_AtRisk_SimSetting_SmartSensitivityAnalysisEnabled,TRUE,True
_AtRisk_SimSetting_StatisticFunctionUpdating,1,True
_AtRisk_SimSetting_StdRecalcActiveSimulationNumber,1,True
_AtRisk_SimSetting_StdRecalcBehavior,0,True
_AtRisk_SimSetting_StdRecalcWithoutRiskStatic,0,True
_AtRisk_SimSetting_StdRecalcWithoutRiskStaticPercentile,0.5,True
_Fill,#REF!,True
_Key1,#REF!,True
_Key2,#REF!,True
