worksheet,chart_index,chart_type,title_text,series_index,series_title,val_formula,cat_formula,x_formula,y_formula,val_named_range,cat_named_range,x_named_range,y_named_range,x_axis_id,y_axis_id,secondary_axis_candidate
Ec_IO,1,AreaChart,Economic Limit Chart,1,,[0]!Cum_DNCF,[0]!Years_Prod,,,0,0,0,0,10,100,1
Ec_IO,2,AreaChart,,1,,[0]!Annual_Oil,Prod_Summary!$S$5:$S$23,,,0,0,0,0,10,100,1
Ec_IO,2,AreaChart,,2,,[0]!Cum_Oil,Prod_Summary!$S$5:$S$31,,,0,0,0,0,10,100,1
Ec_IO,3,AreaChart,,1,,[0]!Cum_Gas,Prod_Summary!$S$5:$S$31,,,0,0,0,0,10,100,1
Ec_IO,3,AreaChart,,2,,[0]!Annual_Gas,Prod_Summary!$S$5:$S$46,,,0,0,0,0,10,100,1
Ec_IO,4,BarChart,Oil Cost Profile,1,,[0]!Expl_Appr.,[0]!Years_Prod,,,0,0,0,0,546630968,546627728,1
Ec_IO,4,BarChart,Oil Cost Profile,2,,[0]!Wells_CAP,[0]!Years_Prod,,,0,0,0,0,546630968,546627728,1
Ec_IO,4,BarChart,Oil Cost Profile,3,,[0]!Fac_CAP,[0]!Years_Prod,,,0,0,0,0,546630968,546627728,1
Ec_IO,4,BarChart,Oil Cost Profile,4,,[0]!OPEX,[0]!Years_Prod,,,0,0,0,0,546630968,546627728,1
Ec_IO,5,AreaChart,Gas Cost Profile,1,,[0]!Gas_Expl_Appr.,[0]!Years_Prod,,,0,0,0,0,10,100,1
Ec_IO,6,AreaChart,Project Discounted NCF,1,,[0]!Cum_DNCF,[0]!Years_Prod,,,0,0,0,0,10,100,1
STOIIP,1,LineChart,STOIIP,1,,STOIIP!$D$40:$D$48,STOIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
STOIIP,1,LineChart,STOIIP,2,,STOIIP!$E$40:$E$48,STOIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
STOIIP,1,LineChart,STOIIP,3,,STOIIP!$F$40:$F$48,STOIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
STOIIP,1,LineChart,STOIIP,4,,STOIIP!$G$40:$G$48,STOIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
STOIIP,1,LineChart,STOIIP,5,,STOIIP!$H$40:$H$48,STOIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
STOIIP,2,BarChart,"STOIIP, MMSTB",1,,STOIIP!$D$40:$H$40,STOIIP!$D$39:$H$39,,,0,0,0,0,14090808,14091984,1
STOIIP,2,BarChart,"STOIIP, MMSTB",2,,STOIIP!$D$44:$H$44,STOIIP!$D$39:$H$39,,,0,0,0,0,14090808,14091984,1
STOIIP,2,BarChart,"STOIIP, MMSTB",3,,STOIIP!$D$48:$H$48,STOIIP!$D$39:$H$39,,,0,0,0,0,14090808,14091984,1
STOIIP,3,LineChart,%Change in STOIIP,1,,STOIIP!$O$40:$O$48,STOIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
STOIIP,3,LineChart,%Change in STOIIP,2,,STOIIP!$P$40:$P$48,STOIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
STOIIP,3,LineChart,%Change in STOIIP,3,,STOIIP!$Q$40:$Q$48,STOIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
STOIIP,3,LineChart,%Change in STOIIP,4,,STOIIP!$R$40:$R$48,STOIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
STOIIP,3,LineChart,%Change in STOIIP,5,,STOIIP!$S$40:$S$48,STOIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
STOIIP,4,BarChart,%Change in STOIIP,1,,STOIIP!$O$40:$S$40,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
STOIIP,4,BarChart,%Change in STOIIP,2,,STOIIP!$O$41:$S$41,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
STOIIP,4,BarChart,%Change in STOIIP,3,,STOIIP!$O$42:$S$42,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
STOIIP,4,BarChart,%Change in STOIIP,4,,STOIIP!$O$43:$S$43,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
STOIIP,4,BarChart,%Change in STOIIP,5,,STOIIP!$O$44:$S$44,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
STOIIP,4,BarChart,%Change in STOIIP,6,,STOIIP!$O$45:$S$45,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
STOIIP,4,BarChart,%Change in STOIIP,7,,STOIIP!$O$46:$S$46,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
STOIIP,4,BarChart,%Change in STOIIP,8,,STOIIP!$O$47:$S$47,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
STOIIP,4,BarChart,%Change in STOIIP,9,,STOIIP!$O$48:$S$48,STOIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,1,LineChart,STOIIP,1,,GIIP!$D$40:$D$48,GIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
GIIP,1,LineChart,STOIIP,2,,GIIP!$E$40:$E$48,GIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
GIIP,1,LineChart,STOIIP,3,,GIIP!$F$40:$F$48,GIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
GIIP,1,LineChart,STOIIP,4,,GIIP!$G$40:$G$48,GIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
GIIP,1,LineChart,STOIIP,5,,GIIP!$H$40:$H$48,GIIP!$C$40:$C$48,,,0,0,0,0,299086296,14087672,1
GIIP,2,BarChart,"STOIIP, MMSTB",1,,GIIP!$D$40:$H$40,GIIP!$D$39:$H$39,,,0,0,0,0,14090808,14091984,1
GIIP,2,BarChart,"STOIIP, MMSTB",2,,GIIP!$D$44:$H$44,GIIP!$D$39:$H$39,,,0,0,0,0,14090808,14091984,1
GIIP,2,BarChart,"STOIIP, MMSTB",3,,GIIP!$D$48:$H$48,GIIP!$D$39:$H$39,,,0,0,0,0,14090808,14091984,1
GIIP,3,LineChart,%Change in STOIIP,1,,GIIP!$O$40:$O$48,GIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
GIIP,3,LineChart,%Change in STOIIP,2,,GIIP!$P$40:$P$48,GIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
GIIP,3,LineChart,%Change in STOIIP,3,,GIIP!$Q$40:$Q$48,GIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
GIIP,3,LineChart,%Change in STOIIP,4,,GIIP!$R$40:$R$48,GIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
GIIP,3,LineChart,%Change in STOIIP,5,,GIIP!$S$40:$S$48,GIIP!$N$40:$N$48,,,0,0,0,0,14090024,14086888,1
GIIP,4,BarChart,%Change in STOIIP,1,,GIIP!$O$40:$S$40,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,4,BarChart,%Change in STOIIP,2,,GIIP!$O$41:$S$41,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,4,BarChart,%Change in STOIIP,3,,GIIP!$O$42:$S$42,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,4,BarChart,%Change in STOIIP,4,,GIIP!$O$43:$S$43,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,4,BarChart,%Change in STOIIP,5,,GIIP!$O$44:$S$44,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,4,BarChart,%Change in STOIIP,6,,GIIP!$O$45:$S$45,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,4,BarChart,%Change in STOIIP,7,,GIIP!$O$46:$S$46,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,4,BarChart,%Change in STOIIP,8,,GIIP!$O$47:$S$47,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
GIIP,4,BarChart,%Change in STOIIP,9,,GIIP!$O$48:$S$48,GIIP!$O$39:$S$39,,,0,0,0,0,14089240,14088456,1
Production Profile,1,LineChart,,1,,[0]!Rates_Charts,[0]!Years_Charts,,,0,0,0,0,14091200,14089632,1
Production Profile,2,LineChart,,1,,'Production Profile'!AG_Chart_Rates,[0]!Years_Charts,,,0,0,0,0,866188616,866188976,1
OML123_Oil_S1,1,BarChart,OML 123 SCENARIO 1,1,,OML123_Oil_S1!$CP$4:$CP$45,OML123_Oil_S1!$CN$4:$CN$45,,,0,0,0,0,802517744,802511264,1
Prod_Summary,1,LineChart,,1,,Prod_Summary!$C$5:$C$46,,,,0,0,0,0,628584728,628583648,1
Prod_Summary,2,AreaChart,,1,,[0]!Annual_Oil,Prod_Summary!$S$5:$S$23,,,0,0,0,0,10,100,1
Prod_Summary,2,AreaChart,,2,,[0]!Cum_Oil,Prod_Summary!$S$5:$S$31,,,0,0,0,0,10,100,1
Prod_Summary,3,AreaChart,,1,,[0]!Cum_Gas,Prod_Summary!$S$5:$S$31,,,0,0,0,0,10,100,1
Prod_Summary,3,AreaChart,,2,,[0]!Annual_Gas,Prod_Summary!$S$5:$S$46,,,0,0,0,0,10,100,1
Block_TC,1,BarChart,Cost Profile,1,,[0]!Expl_Appr.,[0]!Years_Prod,,,0,0,0,0,546630968,546627728,1
Block_TC,1,BarChart,Cost Profile,2,,[0]!Wells_CAP,[0]!Years_Prod,,,0,0,0,0,546630968,546627728,1
Block_TC,1,BarChart,Cost Profile,3,,[0]!Fac_CAP,[0]!Years_Prod,,,0,0,0,0,546630968,546627728,1
Block_TC,1,BarChart,Cost Profile,4,,[0]!OPEX,[0]!Years_Prod,,,0,0,0,0,546630968,546627728,1
Block_TC_Gas,1,AreaChart,Gas Cost Profile,1,,[0]!Gas_Expl_Appr.,[0]!Years_Prod,,,0,0,0,0,10,100,1
FLGT,1,BarChart,Front-Loaded Govt Take,1,,FLGT!$AA$7:$AA$28,FLGT!$A$7:$A$28,,,0,0,0,0,776221928,776213648,1
FLGT,1,BarChart,Front-Loaded Govt Take,2,,FLGT!$AB$7:$AB$28,FLGT!$A$7:$A$28,,,0,0,0,0,776221928,776213648,1
FLGT,1,BarChart,Front-Loaded Govt Take,3,,FLGT!$AC$7:$AC$28,FLGT!$A$7:$A$28,,,0,0,0,0,776221928,776213648,1
FLGT,1,BarChart,Front-Loaded Govt Take,4,,FLGT!$AD$7:$AD$28,FLGT!$A$7:$A$28,,,0,0,0,0,776221928,776213648,1
FLGT,1,BarChart,Front-Loaded Govt Take,5,,FLGT!$AE$7:$AE$28,FLGT!$A$7:$A$28,,,0,0,0,0,776221928,776213648,1
FLGT,1,BarChart,Front-Loaded Govt Take,6,,FLGT!$AF$7:$AF$28,FLGT!$A$7:$A$28,,,0,0,0,0,776221928,776213648,1
