cell,formula,cached_value,ambiguity_flag,upstream_sheets,expected_value_status,safe_to_use_as_gtc_expected,notes
R5,"=IF(Q5=0,"""",IF(Q5<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q5>'Fiscal Terms_PIA'!$W$60,Q5<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q5-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q5,IF(AND(Q5>'Fiscal Terms_PIA'!$W$61,Q5<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q5-'Fiscal Terms_PIA'!$W$61))/Q5,IF(AND(Q5>'Fiscal Terms_PIA'!$W$62,Q5<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q5-'Fiscal Terms_PIA'!$W$62))/Q5,IF(AND(Q5>'Fiscal Terms_PIA'!$W$63,Q5<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q5-'Fiscal Terms_PIA'!$W$63))/Q5,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S5,"=IF(Q5=0,"""",100%-R5)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R6,"=IF(Q6=0,"""",IF(Q6<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q6>'Fiscal Terms_PIA'!$W$60,Q6<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q6-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q6,IF(AND(Q6>'Fiscal Terms_PIA'!$W$61,Q6<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q6-'Fiscal Terms_PIA'!$W$61))/Q6,IF(AND(Q6>'Fiscal Terms_PIA'!$W$62,Q6<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q6-'Fiscal Terms_PIA'!$W$62))/Q6,IF(AND(Q6>'Fiscal Terms_PIA'!$W$63,Q6<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q6-'Fiscal Terms_PIA'!$W$63))/Q6,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S6,"=IF(Q6=0,"""",100%-R6)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R7,"=IF(Q7=0,"""",IF(Q7<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q7>'Fiscal Terms_PIA'!$W$60,Q7<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q7-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q7,IF(AND(Q7>'Fiscal Terms_PIA'!$W$61,Q7<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q7-'Fiscal Terms_PIA'!$W$61))/Q7,IF(AND(Q7>'Fiscal Terms_PIA'!$W$62,Q7<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q7-'Fiscal Terms_PIA'!$W$62))/Q7,IF(AND(Q7>'Fiscal Terms_PIA'!$W$63,Q7<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q7-'Fiscal Terms_PIA'!$W$63))/Q7,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S7,"=IF(Q7=0,"""",100%-R7)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R23,"=IF(Q23=0,"""",IF(Q23<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q23>'Fiscal Terms_PIA'!$W$60,Q23<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q23-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q23,IF(AND(Q23>'Fiscal Terms_PIA'!$W$61,Q23<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q23-'Fiscal Terms_PIA'!$W$61))/Q23,IF(AND(Q23>'Fiscal Terms_PIA'!$W$62,Q23<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q23-'Fiscal Terms_PIA'!$W$62))/Q23,IF(AND(Q23>'Fiscal Terms_PIA'!$W$63,Q23<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q23-'Fiscal Terms_PIA'!$W$63))/Q23,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S23,"=IF(Q23=0,"""",100%-R23)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R24,"=IF(Q24=0,"""",IF(Q24<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q24>'Fiscal Terms_PIA'!$W$60,Q24<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q24-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q24,IF(AND(Q24>'Fiscal Terms_PIA'!$W$61,Q24<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q24-'Fiscal Terms_PIA'!$W$61))/Q24,IF(AND(Q24>'Fiscal Terms_PIA'!$W$62,Q24<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q24-'Fiscal Terms_PIA'!$W$62))/Q24,IF(AND(Q24>'Fiscal Terms_PIA'!$W$63,Q24<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q24-'Fiscal Terms_PIA'!$W$63))/Q24,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S24,"=IF(Q24=0,"""",100%-R24)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
