cell,formula_or_literal,cached_value,cached_type
AK5,,,NoneType
AK6,,,NoneType
AK7,,,NoneType
AK8,,,NoneType
AK9,,,NoneType
AK10,,,NoneType
AK11,,,NoneType
AK12,,,NoneType
AK13,,,NoneType
AK14,,,NoneType
AK15,,,NoneType
AK16,,,NoneType
AK17,,,NoneType
AK18,,,NoneType
AK19,,,NoneType
AK20,,,NoneType
AK21,,,NoneType
AK22,,,NoneType
AK23,,,NoneType
AK24,,,NoneType
AK25,,,NoneType
AK26,,,NoneType
AK27,,,NoneType
AK28,,,NoneType
AK29,,,NoneType
AK30,,,NoneType
AK31,,,NoneType
AK32,,,NoneType
AK33,,,NoneType
AK34,,,NoneType
AK35,,,NoneType
AK36,,,NoneType
AK37,,,NoneType
AK38,,,NoneType
AK39,,,NoneType
AK40,,,NoneType
AK41,,,NoneType
AK42,,,NoneType
AK43,,,NoneType
AK44,,,NoneType
AK45,,,NoneType
AK46,,,NoneType
AK47,,,NoneType
AK48,,,NoneType
AK49,,,NoneType
